Run_s,collection_day_s,description_s,nutrition_calcium_s,nutrition_calorie_s,nutrition_carb_s,nutrition_cholesterol_s,nutrition_fat_s,nutrition_fiber_s,nutrition_protein_s,nutrition_satfat_s,nutrition_sodium_s,nutrition_sugar_s
ERR531540,189,-101,261.9990015,2913.61799,330.2738209,197.0699959,117.4752604,15.21455003,109.571565,29.23553319,3045.54349,60.50149948
ERR531541,153,-200,0,0,0,0,0,0,0,0,0,0
ERR531542,318,-100,0,0,0,0,0,0,0,0,0,0
ERR531543,156,-101,846.5414982,2632.502721,385.6418495,247.9449837,87.90922914,13.55739999,83.76353014,26.39420214,1117.241194,213.0827434
ERR531544,2,-200,0,0,0,0,0,0,0,0,0,0
ERR531545,106,-100,0,0,0,0,0,0,0,0,0,0
ERR531546,118,-101,0,0,0,0,0,0,0,0,0,0
ERR531547,44,-100,601.6677621,2445.881813,387.3215048,131.9099992,76.29548053,27.90678108,65.63185383,20.78402444,1982.867244,189.7093277
ERR531548,171,-101,322.04,1284.580011,134.4553986,79,66.34599999,11.19799995,44.51910019,12.55501,1400.33,24.15700001
ERR531549,33,-200,0,0,0,0,0,0,0,0,0,0
ERR531550,130,-200,0,0,0,0,0,0,0,0,0,0
ERR531551,51,-101,557.9399972,2100.880011,249.7886026,286,69.6076998,37.94050168,102.8814516,24.15403001,2954.794999,88.02525195
ERR531552,286,-101,0,0,0,0,0,0,0,0,0,0
ERR531553,356,-100,0,0,0,0,0,0,0,0,0,0
ERR531554,41,-200,0,0,0,0,0,0,0,0,0,0
ERR531555,134,-100,1010,1590,216,80,60,6.5,51.5,19.25,2335,128.5
ERR531556,60,-100,1048.043343,2971.95477,430.9206077,254.7887909,97.07423683,13.16660015,145.3600713,43.01936749,3638.401164,197.571705
ERR531557,73,-100,0,0,0,0,0,0,0,0,0,0
ERR531558,23,-100,563.5006831,1920.687346,265.4126697,180,65.31967197,16.30292162,64.08692547,19.33671068,2226.963622,87.48735178
ERR531559,72,-101,0,0,0,0,0,0,0,0,0,0
ERR531560,119,-200,0,0,0,0,0,0,0,0,0,0
